Timestamp,Movement Type,Time (Minutes),Distance,RPE,Notes,Activity Type
7/30/2025 9:37:46,Other,11,,,,Zone 2
7/30/2025 9:38:10,Other,1,,,,Zone 2
7/30/2025 18:52:25,Run,21,2.05,,,Zone 2
8/1/2025 6:01:57,Walk,26,,,,Zone 2
8/2/2025 13:45:40,Run,37,,,,Zone 2
8/2/2025 15:20:06,Other,2,,,,Zone 2
8/2/2025 15:55:17,Other,16,,,,Zone 2
8/3/2025 7:53:36,Run,15,,,,Anaerobic
8/3/2025 7:53:59,Run,32,,,,Zone 2
8/3/2025 7:54:23,Bike,7,,,,Zone 2
8/6/2025 10:34:24,Run,15,,,,Zone 2
8/6/2025 10:34:35,Run,20,,,,Zone 2
8/9/2025 9:08:55,Run,20,,,,Anaerobic
8/9/2025 9:09:12,Run,16,,,,Zone 2
8/9/2025 9:09:34,Walk,10,,,,Zone 2
8/9/2025 9:09:50,Run,25,,,,Zone 2
8/10/2025 7:17:43,Run,36,,,,Zone 2
8/11/2025 14:08:52,Other,12,,,,Zone 2
10/28/2025 17:10:46,Other,67,,,Work for mom,Zone 2
10/28/2025 17:11:29,Other,3,,,Work for mom,Anaerobic
10/30/2025 10:37:42,Other,10,,,,Zone 2
10/30/2025 17:14:21,Other,45,,,,Zone 2
11/4/2025 9:22:10,Run,15,,,,Zone 2
11/4/2025 9:22:32,Run,7,,,,Anaerobic
11/4/2025 21:43:25,Other,41,,,,Anaerobic
11/4/2025 21:43:48,Other,37,,,,Zone 2
11/11/2025 17:22:23,Other,20,,,,Zone 2
11/11/2025 17:23:41,Other,5,,,,Anaerobic
11/13/2025 14:05:49,Other,7,,,,Zone 2
12/3/2025 18:26:56,Other,65,,,"Mix of ping pong, karate, outside work and running today ",Zone 2
12/3/2025 18:30:57,Other,53,,,"Mix of running, martial arts, and ping pong",Anaerobic
12/4/2025 17:08:03,Other,35,,,,Zone 2
12/8/2025 14:11:05,Rowing,10,,,,Zone 2
12/11/2025 16:06:13,Other,10,,,,Zone 2
12/11/2025 16:07:16,Other,6,,,,Zone 2
12/14/2025 14:10:56,Other,20,,,,Zone 2
3/5/2026 10:38:27,Run,40,3.3,,,Zone 2
3/9/2026 11:43:32,Run,36,,,,Zone 2
3/9/2026 11:43:45,Run,7.5,,,,Anaerobic
