ExerciseName,Chest,Shoulders,Triceps - Isolation,Back,Upper Traps,Biceps - Isolation,Glute,Quads,Hamstrings,Calves,Forearms,Neck,Core
Cable cross over,1,0,0,0,0,0,0,0,0,0,0,0,0
Bench press,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Incline bench,1,1,0,0,0,0,0,0,0,0,0,0,0
Chest press machine one arm,1,0.5,0,0,0,0,0,0,0,0,0,0,0
DB bench,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Smith machine incline press,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Push-Ups,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5
Incline Push-Ups,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5
Decline Push-Ups,1,1,0,0,0,0,0,0,0,0,0,0,0.5
Incline DB bench,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Chest press machine,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Dips - Chest Focused,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Barbell Incline Press,1,1,0,0,0,0,0,0,0,0,0,0,0
Barbell Flys - Flat,1,0,0,0,0,0,0,0,0,0,0,0,0
Barbell Flys - Incline,1,0,0,0,0,0,0,0,0,0,0,0,0
Pec Deck Machine,1,0,0,0,0,0,0,0,0,0,0,0,0
Close-Grip Bench Press,1,0.5,0,0,0,0,0,0,0,0,0,0,0
Seated DB shoulder press,0,1,0,0,0,0,0,0,0,0,0,0,0
Shoulder press machine,0,1,0,0,0,0,0,0,0,0,0,0,0
Cable Lateral raise,0,1,0,0,0,0,0,0,0,0,0,0,0
Barbell Overhead Press,0,1,0,0,0,0,0,0,0,0,0,0,0
DB standing overhead press,0,1,0,0,0,0,0,0,0,0,0,0,0
Handstand Push-ups,0,1,0,0,0,0,0,0,0,0,0,0,0.5
Pike Push-ups,0,1,0,0,0,0,0,0,0,0,0,0,0.5
Arnold Press,0,1,0,0,0,0,0,0,0,0,0,0,0
Leaning DB lateral raise,0,1,0,0,0,0,0,0,0,0,0,0,0
Cable lateral raises,0,1,0,0,0,0,0,0,0,0,0,0,0
Front Raises - DB,0,1,0,0,0,0,0,0,0,0,0,0,0
Front Raises - Plate,0,1,0,0,0,0,0,0,0,0,0,0,0
Front Raises - Cable,0,1,0,0,0,0,0,0,0,0,0,0,0
Rear Delt Fly - DB,0,1,0,0.5,0,0,0,0,0,0,0,0,0
Rear Delt Fly - Cable,0,1,0,0.5,0,0,0,0,0,0,0,0,0
Rear Delt Fly - Reverse Pec deck,0,1,0,0.5,0,0,0,0,0,0,0,0,0
Upright Row,0,1,0,0.5,0,0,0,0,0,0,0,0,0
Tricep pushdowns,0,0,1,0,0,0,0,0,0,0,0,0,0
Overhead cable tricep extensions,0,0,1,0,0,0,0,0,0,0,0,0,0
Cable tricep extensions straight bar,0,0,1,0,0,0,0,0,0,0,0,0,0
Dips - Tricep Focused,0.5,1,1,0,0,0,0,0,0,0,0,0,0
Skull Crushers,0,0,1,0,0,0,0,0,0,0,0,0,0
Dumbbell Kickbacks,0,0,1,0,0,0,0,0,0,0,0,0,0
Rope Pushdowns,0,0,1,0,0,0,0,0,0,0,0,0,0
Lat pullover,0,0,0,1,0,0,0,0,0,0,0,0,0
Reverse close grip lat pull-down,0,0,0,1,0,0,0,0,0,0,0,0,0
Wide grip pull down,0,0,0,1,0,0,0,0,0,0,0,0,0
Lat pull down,0,0,0,1,0,0,0,0,0,0,0,0,0
Pullups,0,0,0,1,0,0,0,0,0,0,0,0,0
Dead Hang,0,0,0,1,0,0,0,0,0,0,1,0,0
Chin ups,0,0,0,1,0,0,0,0,0,0,0,0,0
T-Bar Row,0,0,0,1,1,0,0,0,0,0,0,0,0
Back Extensions,0,0,0,1,0,0,1,0,1,0,0,0,0
Good Mornings,0,0,0,1,0,0,1,0,1,0,0,0,0
Seated machine row,0,0,0,1,1,0,0,0,0,0,0,0,0
DB row,0,0,0,1,1,0,0,0,0,0,0,0,0
Face pulls,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0
Barbell Bent-Over Row,0,0,0,1,1,0,0,0,1,0,0,0,0
Bodyweight Rows,0,0,0,1,1,0,0,0,0,0,0,0,0.5
Shrugs - Barbell,0,0,0,0,1,0,0,0,0,0,0,0,0
Shrugs - DB,0,0,0,0,1,0,0,0,0,0,0,0,0
Inclined curls,0,0,0,0,0,1,0,0,0,0,0,0,0
Z bar curl,0,0,0,0,0,1,0,0,0,0,0,0,0
bayesian curl,0,0,0,0,0,1,0,0,0,0,0,0,0
Barbell Curl,0,0,0,0,0,1,0,0,0,0,0,0,0
Dumbbell Hammer Curl,0,0,0,0,0,1,0,0,0,0,1,0,0
Preacher Curl - Machine,0,0,0,0,0,1,0,0,0,0,0,0,0
Preacher Curl - DB,0,0,0,0,0,1,0,0,0,0,0,0,0
Preacher Curl - zbar,0,0,0,0,0,1,0,0,0,0,0,0,0
